element,web_name,position
1,Raya,GKP
2,Arrizabalaga,GKP
3,Hein,GKP
4,Setford,GKP
5,Gabriel,DEF
6,Saliba,DEF
7,Calafiori,DEF
8,J.Timber,DEF
9,Kiwior,DEF
10,Lewis-Skelly,DEF
11,White,DEF
13,Clarke,DEF
14,Kacurri,DEF
15,Nichols,DEF
16,Saka,MID
17,Ødegaard,MID
18,Madueke,MID
19,Martinelli,MID
20,Trossard,MID
21,Rice,MID
22,Merino,MID
23,Fábio Vieira,MID
24,Nørgaard,MID
25,Nwaneri,MID
26,Zubimendi,MID
28,Kabia,MID
29,Sambi,MID
30,Havertz,FWD
31,G.Jesus,FWD
266,Eze,MID
662,Mosquera,DEF
666,Gyökeres,FWD
700,Dowman,MID
711,Harriman-Annous,MID
725,Hincapie,DEF
32,Martinez,GKP
33,M.Bizot,GKP
34,Gauci,GKP
35,Marschall,GKP
36,Cash,DEF
37,Digne,DEF
38,Konsa,DEF
39,Maatsen,DEF
40,Mings,DEF
41,Pau,DEF
42,A.García,DEF
43,Alex Moreno,DEF
44,Bogarde,DEF
45,Sousa,DEF
46,Yasin,DEF
47,Rogers,MID
48,Tielemans,MID
49,Bailey,MID
50,Buendía,MID
51,Iling Jr,MID
53,Malen,MID
54,McGinn,MID
55,Barkley,MID
56,Barrenechea,MID
57,Dobbin,MID
58,Kamara,MID
59,Onana,MID
60,Broggio,MID
61,Dendoncker,MID
62,Jimoh-Aloba,MID
63,Young,MID
64,Watkins,FWD
65,Redmond,FWD
389,Elliott,MID
456,Sancho,MID
677,Guessand,MID
688,Wright,GKP
701,Rowe,DEF
702,Burrowes,MID
703,Proctor,GKP
710,Patterson,DEF
719,Lindelöf,DEF
183,Weiss,GKP
184,Green,GKP
185,Hladký,GKP
186,Roberts,DEF
187,Walker,DEF
188,Delcroix,DEF
189,Dodgson,DEF
190,Ekdal,DEF
191,Estève,DEF
192,Hartman,DEF
193,Humphreys,DEF
194,Jordan,DEF
195,Lucas Pires,DEF
196,Sambo,DEF
197,Sonne,DEF
198,Tuanzebe,DEF
199,Worrall,DEF
200,Anthony,MID
201,Benson,MID
202,Bruun Larsen,MID
203,Boateng,MID
204,Churlinov,MID
205,Cullen,MID
206,Edwards,MID
207,Hannibal,MID
208,Koleosho,MID
209,Laurent,MID
210,Tchaouna,MID
211,A.Ramsey,MID
212,Adewumi,MID
213,Banel,MID
214,Trésor,MID
215,Flemming,FWD
216,Amdouni,FWD
217,Foster,FWD
218,Barnes,FWD
219,Obafemi,FWD
470,Dúbravka,GKP
676,Ugochukwu,MID
680,Broja,FWD
722,Florentino,MID
66,Neto,GKP
67,Petrović,GKP
68,Dennis,GKP
69,McKenna,GKP
70,Paulsen,GKP
71,Zabarnyi,DEF
72,Senesi,DEF
73,Smith,DEF
74,Truffert,DEF
75,Akinmboni,DEF
76,Bevan,DEF
77,Hill,DEF
78,J.Araujo,DEF
79,Mepham,DEF
80,Soler,DEF
81,Kluivert,MID
82,Semenyo,MID
84,Tavernier,MID
85,Adams,MID
86,Brooks,MID
87,Christie,MID
88,Cook,MID
89,Philip,MID
90,Scott,MID
91,Sinisterra,MID
92,Faivre,MID
93,H.Traorè,MID
94,Sadi,MID
95,Silcott-Duberry,MID
96,Winterburn,MID
97,Evanilson,FWD
98,Enes Ünal,FWD
99,Adu-Adjei,FWD
100,Kroupi.Jr,FWD
391,Gannon-Doak,MID
685,Diakité,DEF
687,Rees-Dottin,MID
697,Adli,MID
713,A.Jimenez,DEF
721,Milosavljević,DEF
27,Nelson,MID
83,O.Dango,MID
101,Kelleher,GKP
102,Balcombe,GKP
103,Cox,GKP
104,Eyestone,GKP
105,Valdimarsson,GKP
106,Collins,DEF
107,Lewis-Potter,DEF
108,Ajer,DEF
109,Henry,DEF
110,Kayode,DEF
111,Pinnock,DEF
112,Roerslev,DEF
113,Van den Berg,DEF
114,Arthur,DEF
115,Fredrick,DEF
116,Hickey,DEF
117,Ji-soo,DEF
118,Meghoma,DEF
120,Schade,MID
121,Damsgaard,MID
122,Milambo,MID
123,Carvalho,MID
124,Henderson,MID
125,Janelt,MID
126,Jensen,MID
127,Nunes,MID
128,Onyeka,MID
129,Yarmoliuk,MID
130,Donovan,MID
131,Konak,MID
132,Maghoma,MID
133,Peart-Harris,MID
134,Trevitt,MID
136,Thiago,FWD
137,Morgan,FWD
138,Steele,GKP
139,Verbruggen,GKP
140,McGill,GKP
141,Rushworth,GKP
142,Scherpen,GKP
143,Boscagli,DEF
144,Coppola,DEF
145,De Cuyper,DEF
146,Dunk,DEF
147,Estupiñan,DEF
148,F.Kadıoğlu,DEF
150,Lamptey,DEF
151,Van Hecke,DEF
152,Veltman,DEF
153,Webster,DEF
154,Cashin,DEF
155,Slater,DEF
156,Tasker,DEF
157,Mitoma,MID
158,Georginio,MID
159,March,MID
160,Minteh,MID
161,Enciso,MID
162,Gruda,MID
163,Hinshelwood,MID
164,O'Riley,MID
165,Sima,MID
166,Ayari,MID
167,Baleba,MID
169,Gomez,MID
170,Milner,MID
171,Sarmiento,MID
172,Watson,MID
173,Wieffer,MID
174,Yalcouye,MID
175,Knight,MID
176,Mazilu,MID
177,Moran,MID
178,Welbeck,FWD
179,Ferguson,FWD
180,Tzimas,FWD
181,Kostoulas,FWD
744,Oriola,MID
168,Buonanotte,MID
220,Sánchez,GKP
221,Jörgensen,GKP
222,Penders,GKP
223,Slonina,GKP
224,Cucurella,DEF
225,James,DEF
226,Chalobah,DEF
227,Colwill,DEF
228,Gusto,DEF
229,B.Badiashile,DEF
230,Fofana,DEF
231,M.Sarr,DEF
232,Tosin,DEF
233,Acheampong,DEF
234,Anselmino,DEF
235,Palmer,MID
236,Neto,MID
237,Enzo,MID
238,Estêvão,MID
239,Gittens,MID
240,Nkunku,MID
241,Caicedo,MID
243,George,MID
244,Lavia,MID
245,Mudryk,MID
246,Andrey Santos,MID
247,D.Essugo,MID
248,Paez,MID
249,João Pedro,FWD
250,Delap,FWD
251,N.Jackson,FWD
252,Marc Guiu,FWD
453,Garnacho,MID
672,Hato,DEF
743,Emenalo,MID
253,Henderson,GKP
254,Benitez,GKP
255,Matthews,GKP
256,Muñoz,DEF
257,Lacroix,DEF
258,Mitchell,DEF
259,Sosa,DEF
260,Guéhi,DEF
261,Richards,DEF
262,Chadi Riad,DEF
263,Clyne,DEF
264,Holding,DEF
265,Kporha,DEF
267,Sarr,MID
268,Doucouré,MID
269,Esse,MID
270,Hughes,MID
271,Kamada,MID
272,Lerma,MID
273,Wharton,MID
274,Agbinone,MID
275,Ahamada,MID
276,Devenny,MID
277,Ebiowei,MID
278,J.Rak-Sakyi,MID
279,M.França,MID
